@RELATION RapidMinerData

@ATTRIBUTE 'Length1' real
@ATTRIBUTE 'Length2' real
@ATTRIBUTE 'Length3' real
@ATTRIBUTE 'Height' real
@ATTRIBUTE 'Width' real
@ATTRIBUTE 'Weight' real

@DATA
0.3048543689320388,0.3090909090909091,0.35810810810810806,0.5683340491972649,0.41897834912043297,0.14666666666666667
0.32038834951456313,0.32545454545454544,0.37837837837837834,0.6240553498252905,0.459235453315291,0.17575757575757575
0.31844660194174756,0.3290909090909091,0.3766891891891892,0.6181233530292652,0.5142788678394228,0.20606060606060606
0.3650485436893204,0.37454545454545457,0.4172297297297297,0.6385661051971722,0.4803647947677041,0.22
0.36893203883495146,0.37454545454545457,0.42567567567567566,0.6219658010517396,0.5760036084799279,0.2606060606060606
0.37475728155339805,0.3872727272727272,0.4375,0.6892028371428902,0.546882047812359,0.2727272727272727
0.37475728155339805,0.3872727272727272,0.4341216216216216,0.7226994648433419,0.5963717861975644,0.30303030303030304
0.39029126213592236,0.39272727272727276,0.44256756756756754,0.6350835239079206,0.5134190347316194,0.23636363636363636
0.39029126213592236,0.39272727272727276,0.44425675675675674,0.7125651532916196,0.5350981055480379,0.2727272727272727
0.4077669902912621,0.4054545454545454,0.46283783783783783,0.7254332911554043,0.551392647722147,0.30303030303030304
0.40582524271844655,0.41090909090909095,0.46283783783783783,0.7275344485332528,0.5718031123139378,0.2878787878787879
0.4116504854368932,0.41090909090909095,0.46283783783783783,0.7338379206667982,0.5309821831303564,0.30303030303030304
0.41941747572815535,0.42000000000000004,0.4662162162162162,0.6983039829121345,0.4680311231393776,0.30303030303030304
0.42718446601941745,0.42909090909090913,0.48141891891891886,0.7072251953147672,0.5673770861524583,0.20606060606060606
0.42524271844660194,0.42909090909090913,0.47972972972972977,0.7676770021940261,0.581190798376184,0.36363636363636365
0.42524271844660194,0.42909090909090913,0.47972972972972977,0.795746607385394,0.6388700947225981,0.36363636363636365
0.4446601941747573,0.4472727272727273,0.49831081081081074,0.7622209581741987,0.5973443843031123,0.42424242424242425
0.4446601941747573,0.4472727272727273,0.5016891891891891,0.7667250966416308,0.5849543301759134,0.42424242424242425
0.45436893203883494,0.4563636363636364,0.5033783783783784,0.8070649965754616,0.5759754172304917,0.3696969696969697
0.4563106796116505,0.4563636363636364,0.5050675675675675,0.739781526067121,0.6596752368064953,0.3939393939393939
0.4621359223300971,0.46545454545454545,0.518581081081081,0.7777822922350046,0.637390054127199,0.3484848484848485
0.4640776699029126,0.46545454545454545,0.5135135135135135,0.8279953101238638,0.6093256653134868,0.41515151515151516
0.46601941747572817,0.47454545454545455,0.5219594594594594,0.8006628513053875,0.5965973161930537,0.37575757575757573
0.47184466019417476,0.48363636363636364,0.5371621621621622,0.7975227238429123,0.716480604420388,0.4121212121212121
0.47378640776699027,0.48363636363636364,0.5354729729729729,0.8423261321291341,0.6401387009472261,0.42424242424242425
0.47184466019417476,0.48363636363636364,0.5422297297297296,0.8492622731968935,0.7055705908885883,0.4393939393939394
0.47572815533980584,0.48363636363636364,0.5371621621621622,0.849366750635571,0.7107577807848444,0.43636363636363634
0.48932038834951463,0.5018181818181818,0.5523648648648649,0.8583750275704352,0.6771397158322057,0.43272727272727274
0.49126213592233003,0.5018181818181818,0.554054054054054,0.8800018573766877,0.7260374379792514,0.5151515151515151
0.5048543689320388,0.52,0.5709459459459458,1.0,0.7830683355886333,0.6060606060606061
0.5339805825242718,0.5472727272727272,0.5962837837837837,0.9465946159293267,0.7412466170500678,0.5575757575757576
0.5339805825242718,0.5472727272727272,0.5945945945945946,0.9493284422413892,0.7392309427153811,0.5787878787878787
0.5572815533980583,0.5654545454545454,0.6165540540540541,0.9882288752423296,0.8037466170500677,0.5606060606060606
0.5805825242718446,0.5927272727272728,0.626689189189189,0.9813333642896115,0.8034083220568337,0.5909090909090909
0.5922330097087378,0.5927272727272728,0.6368243243243243,0.9225996308463833,0.7502960081190798,0.5757575757575758
0.10485436893203884,0.10363636363636362,0.12499999999999997,0.14039446037402922,0.17202300405953988,0.024242424242424242
0.17475728155339806,0.17818181818181816,0.19425675675675674,0.20720778240832108,0.25007047812359046,0.04181818181818182
0.1941747572815534,0.1890909090909091,0.20945945945945943,0.22330311226681215,0.2617275597654488,0.04727272727272727
0.2077669902912621,0.20727272727272728,0.22635135135135132,0.22568287614780078,0.2998139377537212,0.05272727272727273
0.2155339805825243,0.2109090909090909,0.22635135135135132,0.2604738632274242,0.3561400541271989,0.07272727272727272
